word,diff,rt,st,avg_at_tick_2,avg_at_tick_3,avg_at_tick_4,avg_at_tick_5,avg_at_tick_6,avg_at_tick_7,avg_at_tick_8,avg_at_tick_9,avg_at_tick_10,avg_at_tick_11,avg_at_tick_12,avg_at_tick_13,avg_at_tick_14,avg_at_tick_15,avg_at_tick_16,avg_at_tick_17,avg_at_tick_18,avg_at_tick_19,avg_at_tick_20
57_MUN,0.0,10,13,0.06606350788,0.035435835090000006,0.027024199590000002,0.02944205518,0.037762572560000006,0.05053403928,0.06140227216899999,0.06819497668100001,0.062167224054,0.0400832309153,0.019849010775599998,0.009337485284570004,0.004689892062349999,0.002550755802449999,0.0015162934906639992,0.0009917879315900016,0.0007020887801670038,0.0005505926352139997,0.00046040910937799923
58_NOK,0.0,12,14,0.06606350788,0.02544684841,0.015750869380000004,0.01757194972,0.024830359455000003,0.037306733365000004,0.05634408948,0.07740144512,0.0820681699235,0.06232110387489999,0.03629161531331,0.018540268575915,0.009366356096722997,0.0049537090705179965,0.0027739946508240003,0.001679685837640006,0.0011622631837259984,0.0009156287363660049,0.0007946262668139976
59_PEL,0.0,8,9,0.06606350788,0.031336967820000006,0.02331555118,0.01898961576,0.015754371835,0.013057901313000003,0.010600917109999998,0.008380621597000001,0.006552280754,0.0051027147709999995,0.003938666130699999,0.0030446177147000018,0.0023822006221999987,0.001904042139400001,0.0015586656208999986,0.0013022549249000002,0.0010994505807899997,0.0009355911138700003,0.0008006534098100013
60_PAT,0.0,8,11,0.06606350788,0.03153207693,0.02103562094,0.016800160709999998,0.01447702308,0.01392005497,0.01356801904,0.012300612550000001,0.010077236360000002,0.007541751111999999,0.0052970923900000026,0.0036162808829999977,0.0024617845584999996,0.0017085885954999996,0.0012071253819000009,0.0008669587790000003,0.0006357491860999976,0.00047692857240000093,0.00037342703987000125
61_SIK,0.0,11,13,0.06606350788,0.03116005386,0.02181811436,0.02017438515,0.022022471820000004,0.028069115039999995,0.03738962245,0.04397110574400001,0.038459617912000005,0.024377399670000008,0.012695365657599999,0.006348636822700001,0.003291195966699997,0.0018109169372999999,0.0010620837559300012,0.000666147331580005,0.00045922179881000057,0.00033286996284999663,0.0002535842003300003
62_LOB,0.0,8,10,0.06606350788,0.029499718610000003,0.01990499258,0.01621265817,0.015073539759999999,0.014233848451,0.012650438432000002,0.010537184390999994,0.008379693813200003,0.006459542388999999,0.004971234204700001,0.0038474373105,0.0030193611551700018,0.0023896538360099985,0.00190315424957,0.001522148482809999,0.0012231911849200018,0.0009879510585200008,0.000801554356589998
63_NAL,0.0,8,11,0.06606350788,0.028191294170000002,0.0191436451,0.017774235139999997,0.017128714999999996,0.016683953092000003,0.015222526247999999,0.012974833131,0.010447170396000006,0.008345486864999998,0.006733554887700002,0.0053328176876,0.0041802558487,0.003251917236600001,0.002521679714399998,0.001958931614000002,0.0015310843929000001,0.001207599580499999,0.0009603838442000008
64_TEN,0.0,9,12,0.06606350788,0.0326228372,0.025427276279999994,0.026375673970000003,0.029682460579999993,0.031292231044,0.028165641630000002,0.022146332126000003,0.016451561028300005,0.012036981643,0.008743163988999998,0.0063987014716700005,0.00462437234178,0.0033292640005999985,0.0024087559243899993,0.0017606712477200015,0.0013058049708999993,0.0009833271535799992,0.0007513433493999995
65_SAR,0.0,11,14,0.06606350788,0.03260720516999999,0.0231053016,0.023513283080000006,0.029720959469999995,0.04029261201,0.052741111492000003,0.061506611935,0.05741868079599999,0.04061875914369999,0.0226329764755,0.011572157542810001,0.006063687659499995,0.003339477032730006,0.0019422145169939948,0.0011952216042800039,0.0007745660735990021,0.0005248614738089952,0.0003692354763410064
66_LAT,0.0,13,15,0.06606350788,0.028313091599999996,0.016962011540000002,0.01602086791,0.01968988203,0.028176590819999993,0.043181256946000016,0.0634275268654,0.07896434408589999,0.07436187682833001,0.05317551698662701,0.031661242737824995,0.017376966421396006,0.009429420443092999,0.0053383686456060075,0.0032636272093609945,0.002273514107693998,0.0018534986439620016,0.0016972013575499978
