epoch,seed,hidden_units,error,linearity
426,0,100,0.0002285143,0.9917909
427,0,100,0.0002159998,0.9918559
428,0,100,0.0002041784,0.9919147
429,0,100,0.0001929808,0.992
430,0,100,0.0001823419,0.9920611
431,0,100,0.0001723999,0.9921494
432,0,100,0.0001628344,0.9922458
433,0,100,0.00015388,0.992309
434,0,100,0.0001454186,0.9923679
435,0,100,0.000137382,0.9923998
436,0,100,0.0001297036,0.9924247
437,0,100,0.0001225376,0.9923233
438,0,100,0.0001158156,0.9921471
439,0,100,0.0001093185,0.9919786
440,0,100,0.0001031788,0.9918777
441,0,100,9.744767e-05,0.9918334
442,0,100,9.199485e-05,0.9918661
443,0,100,8.685613e-05,0.9919084
444,0,100,8.203422e-05,0.9919109
445,0,100,7.737364e-05,0.9919741
446,0,100,7.307332e-05,0.9920879
447,0,100,6.8819e-05,0.9921333
448,0,100,6.503411e-05,0.9921983
449,0,100,6.125015e-05,0.9922579
450,0,100,5.781325e-05,0.9923046
451,0,100,5.447103e-05,0.9923221
452,0,100,5.134511e-05,0.992341
453,0,100,4.841256e-05,0.9923544
454,0,100,4.563487e-05,0.9923939
455,0,100,4.300622e-05,0.9924623
456,0,100,4.04614e-05,0.9924977
457,0,100,3.819133e-05,0.9925296
458,0,100,3.590436e-05,0.9925931
459,0,100,3.384365e-05,0.9926316
460,0,100,3.185215e-05,0.9926876
461,0,100,2.993856e-05,0.992713
462,0,100,2.81755e-05,0.9927076
463,0,100,2.649949e-05,0.992713
464,0,100,2.496766e-05,0.9926937
465,0,100,2.340054e-05,0.9927115
466,0,100,2.201725e-05,0.9927034
467,0,100,2.069003e-05,0.9927113
468,0,100,1.943287e-05,0.9927214
469,0,100,1.833464e-05,0.9927195
470,0,100,1.71419e-05,0.9927297
471,0,100,1.609585e-05,0.9927448
472,0,100,1.507146e-05,0.9927138
473,0,100,1.417708e-05,0.9926736
474,0,100,1.333712e-05,0.9926534
475,0,100,1.24258e-05,0.9926192
476,0,100,1.173041e-05,0.9925855
477,0,100,1.099311e-05,0.9925628
478,0,100,1.031948e-05,0.9924958
479,0,100,9.675518e-06,0.9924906
480,0,100,9.056781e-06,0.9924377
481,0,100,8.522066e-06,0.9924201
482,0,100,7.942418e-06,0.9923678
483,0,100,7.541403e-06,0.9923263
484,0,100,6.963594e-06,0.9922439
485,0,100,6.54206e-06,0.9921913
486,0,100,6.072871e-06,0.9920766
487,0,100,5.75485e-06,0.9919636
488,0,100,5.332405e-06,0.9918605
489,0,100,5.012261e-06,0.9917696
490,0,100,4.690724e-06,0.9916822
491,0,100,4.439612e-06,0.9916822
492,0,100,4.093483e-06,0.9916214
493,0,100,3.850391e-06,0.9916053
494,0,100,3.648938e-06,0.9915604
495,0,100,3.403091e-06,0.9914733
496,0,100,3.130302e-06,0.9913535
497,0,100,2.977878e-06,0.9912808
498,0,100,2.759317e-06,0.9911568
499,0,100,2.519533e-06,0.9910899
500,0,100,2.394452e-06,0.9909815
501,0,100,2.245282e-06,0.9908226
502,0,100,2.053539e-06,0.9906729
503,0,100,1.977536e-06,0.9905965
504,0,100,1.804254e-06,0.9904397
505,0,100,1.656905e-06,0.9902169
506,0,100,1.616829e-06,0.9900938
507,0,100,1.499728e-06,0.9898674
508,0,100,1.258409e-06,0.9895589
509,0,100,1.236298e-06,0.9893621
510,0,100,1.221105e-06,0.9890454
511,0,100,1.104507e-06,0.9887826
512,0,100,1.08436e-06,0.9884728
513,0,100,9.925214e-07,0.988135
514,0,100,8.546934e-07,0.9877851
515,0,100,8.153738e-07,0.9874433
516,0,100,7.2546e-07,0.9871056
517,0,100,6.695048e-07,0.986563
518,0,100,6.396076e-07,0.9860492
519,0,100,6.727214e-07,0.9855789
